agent_id,opus-4.6_run01,opus-4.6_run02,opus-4.6_run03,opus-4.6_run04,opus-4.6_run05,opus-4.6_run06,opus-4.6_run07,opus-4.6_run08,opus-4.6_run09,opus-4.6_run10,opus-4.6_run11,opus-4.6_run12,opus-4.6_run13,opus-4.6_run14,opus-4.6_run15,opus-4.6_run17,opus-4.6_run18,opus-4.6_run19,opus-4.6_run20,opus-4.6_run22,opus-4.6_run23,opus-4.6_run24,opus-4.6_run25,opus-4.6_run26,opus-4.6_run27,opus-4.6_run28,opus-4.6_run29,opus-4.6_run30,opus-4.6_run31,opus-4.6_run32,opus-4.6_run33,opus-4.6_run34,opus-4.6_run35,opus-4.6_run36,opus-4.6_run37,opus-4.6_run38,opus-4.6_run39,opus-4.6_run40,opus-4.6_run41,opus-4.6_run42,opus-4.6_run43,opus-4.6_run44,opus-4.6_run45,opus-4.6_run46,opus-4.6_run47,opus-4.6_run48,opus-4.6_run49,opus-4.6_run50
opus-4.6_run01,0.000000,0.015000,0.055000,0.385000,0.250000,0.245000,0.025000,0.020000,0.085000,0.150000,0.080000,0.045000,0.120000,0.055000,0.015000,0.145000,0.080000,0.110000,0.015000,0.250000,0.185000,0.155000,0.355000,0.350000,0.015000,0.045000,0.150000,0.150000,0.015000,0.090000,0.080000,0.180000,0.115000,0.085000,0.320000,0.085000,0.315000,0.225000,0.110000,0.085000,0.220000,0.120000,0.020000,0.350000,0.050000,0.175000,0.045000,0.115000
opus-4.6_run02,0.015000,0.000000,0.085000,0.005000,0.150000,0.185000,0.025000,0.040000,0.105000,0.150000,0.160000,0.015000,0.060000,0.015000,0.005000,0.015000,0.140000,0.070000,0.195000,0.150000,0.105000,0.085000,0.115000,0.150000,0.205000,0.215000,0.050000,0.050000,0.205000,0.030000,0.040000,0.140000,0.105000,0.105000,0.160000,0.195000,0.095000,0.025000,0.030000,0.105000,0.040000,0.040000,0.060000,0.050000,0.150000,0.025000,0.115000,0.105000
opus-4.6_run03,0.055000,0.085000,0.000000,0.085000,0.150000,0.055000,0.025000,0.220000,0.085000,0.050000,0.020000,0.145000,0.120000,0.055000,0.115000,0.055000,0.020000,0.110000,0.015000,0.050000,0.085000,0.055000,0.055000,0.050000,0.015000,0.055000,0.050000,0.150000,0.215000,0.010000,0.180000,0.020000,0.085000,0.015000,0.020000,0.085000,0.015000,0.125000,0.090000,0.085000,0.020000,0.120000,0.020000,0.050000,0.050000,0.025000,0.045000,0.185000
opus-4.6_run04,0.385000,0.005000,0.085000,0.000000,0.250000,0.215000,0.175000,0.040000,0.095000,0.250000,0.160000,0.115000,0.140000,0.015000,0.005000,0.215000,0.160000,0.170000,0.005000,0.250000,0.195000,0.285000,0.385000,0.350000,0.005000,0.015000,0.050000,0.250000,0.105000,0.030000,0.060000,0.160000,0.105000,0.005000,0.340000,0.195000,0.405000,0.275000,0.070000,0.095000,0.140000,0.040000,0.060000,0.250000,0.150000,0.125000,0.085000,0.105000
opus-4.6_run05,0.250000,0.150000,0.150000,0.250000,0.000000,0.250000,0.150000,0.100000,0.050000,0.300000,0.000000,0.050000,0.000000,0.050000,0.150000,0.150000,0.200000,0.000000,0.050000,0.200000,0.050000,0.150000,0.250000,0.200000,0.050000,0.050000,0.000000,0.200000,0.150000,0.100000,0.000000,0.200000,0.050000,0.050000,0.300000,0.050000,0.250000,0.150000,0.200000,0.150000,0.100000,0.000000,0.100000,0.200000,0.000000,0.150000,0.150000,0.150000
opus-4.6_run06,0.245000,0.185000,0.055000,0.215000,0.250000,0.000000,0.075000,0.020000,0.315000,0.250000,0.020000,0.045000,0.280000,0.055000,0.085000,0.055000,0.220000,0.010000,0.015000,0.350000,0.315000,0.145000,0.245000,0.350000,0.015000,0.045000,0.050000,0.150000,0.115000,0.010000,0.020000,0.320000,0.015000,0.085000,0.280000,0.015000,0.285000,0.175000,0.090000,0.115000,0.280000,0.080000,0.020000,0.250000,0.050000,0.025000,0.145000,0.085000
opus-4.6_run07,0.025000,0.025000,0.025000,0.175000,0.150000,0.075000,0.000000,0.000000,0.075000,0.150000,0.100000,0.025000,0.100000,0.025000,0.175000,0.175000,0.100000,0.050000,0.125000,0.050000,0.025000,0.225000,0.125000,0.050000,0.075000,0.025000,0.050000,0.050000,0.075000,0.050000,0.000000,0.100000,0.075000,0.025000,0.100000,0.025000,0.125000,0.175000,0.050000,0.075000,0.100000,0.000000,0.100000,0.050000,0.050000,0.025000,0.125000,0.075000
opus-4.6_run08,0.020000,0.040000,0.220000,0.040000,0.100000,0.020000,0.000000,0.000000,0.140000,0.100000,0.220000,0.080000,0.180000,0.120000,0.260000,0.080000,0.020000,0.040000,0.140000,0.100000,0.040000,0.120000,0.020000,0.000000,0.060000,0.080000,0.200000,0.100000,0.160000,0.040000,0.320000,0.020000,0.060000,0.160000,0.020000,0.240000,0.040000,0.000000,0.060000,0.140000,0.020000,0.180000,0.180000,0.000000,0.100000,0.100000,0.020000,0.040000
opus-4.6_run09,0.085000,0.105000,0.085000,0.095000,0.050000,0.315000,0.075000,0.140000,0.000000,0.250000,0.060000,0.015000,0.440000,0.015000,0.205000,0.015000,0.260000,0.030000,0.195000,0.150000,0.395000,0.085000,0.085000,0.250000,0.005000,0.085000,0.150000,0.050000,0.005000,0.170000,0.160000,0.260000,0.095000,0.205000,0.140000,0.095000,0.105000,0.075000,0.030000,0.295000,0.240000,0.140000,0.040000,0.150000,0.050000,0.025000,0.185000,0.095000
opus-4.6_run10,0.150000,0.150000,0.050000,0.250000,0.300000,0.250000,0.150000,0.100000,0.250000,0.000000,0.100000,0.050000,0.200000,0.050000,0.050000,0.050000,0.400000,0.000000,0.050000,0.100000,0.250000,0.150000,0.150000,0.200000,0.050000,0.150000,0.100000,0.200000,0.050000,0.100000,0.200000,0.200000,0.050000,0.150000,0.200000,0.150000,0.250000,0.050000,0.000000,0.250000,0.000000,0.100000,0.100000,0.100000,0.000000,0.050000,0.250000,0.050000
opus-4.6_run11,0.080000,0.160000,0.020000,0.160000,0.000000,0.020000,0.100000,0.220000,0.060000,0.100000,0.000000,0.120000,0.120000,0.080000,0.140000,0.120000,0.180000,0.060000,0.160000,0.000000,0.060000,0.180000,0.080000,0.100000,0.140000,0.220000,0.300000,0.100000,0.140000,0.060000,0.180000,0.080000,0.040000,0.240000,0.020000,0.260000,0.140000,0.000000,0.040000,0.060000,0.020000,0.220000,0.120000,0.100000,0.200000,0.100000,0.180000,0.140000
opus-4.6_run12,0.045000,0.015000,0.145000,0.115000,0.050000,0.045000,0.025000,0.080000,0.015000,0.050000,0.120000,0.000000,0.020000,0.155000,0.185000,0.045000,0.020000,0.090000,0.115000,0.050000,0.115000,0.045000,0.045000,0.150000,0.185000,0.045000,0.050000,0.050000,0.185000,0.190000,0.020000,0.080000,0.085000,0.085000,0.080000,0.115000,0.085000,0.025000,0.010000,0.115000,0.120000,0.020000,0.080000,0.050000,0.150000,0.125000,0.145000,0.015000
opus-4.6_run13,0.120000,0.060000,0.120000,0.140000,0.000000,0.280000,0.100000,0.180000,0.440000,0.200000,0.120000,0.020000,0.000000,0.020000,0.160000,0.080000,0.220000,0.040000,0.140000,0.200000,0.340000,0.120000,0.120000,0.200000,0.040000,0.020000,0.200000,0.100000,0.060000,0.140000,0.120000,0.220000,0.140000,0.160000,0.080000,0.140000,0.160000,0.100000,0.060000,0.240000,0.280000,0.180000,0.020000,0.100000,0.000000,0.000000,0.120000,0.040000
opus-4.6_run14,0.055000,0.015000,0.055000,0.015000,0.050000,0.055000,0.025000,0.120000,0.015000,0.050000,0.080000,0.155000,0.020000,0.000000,0.015000,0.055000,0.080000,0.190000,0.115000,0.150000,0.015000,0.045000,0.045000,0.050000,0.015000,0.145000,0.250000,0.050000,0.015000,0.010000,0.280000,0.020000,0.015000,0.015000,0.080000,0.015000,0.085000,0.075000,0.090000,0.085000,0.020000,0.220000,0.120000,0.050000,0.150000,0.025000,0.045000,0.185000
opus-4.6_run15,0.015000,0.005000,0.115000,0.005000,0.150000,0.085000,0.175000,0.260000,0.205000,0.050000,0.140000,0.185000,0.160000,0.015000,0.000000,0.015000,0.040000,0.070000,0.305000,0.050000,0.305000,0.085000,0.015000,0.150000,0.295000,0.085000,0.150000,0.050000,0.195000,0.130000,0.240000,0.060000,0.195000,0.295000,0.060000,0.305000,0.005000,0.075000,0.130000,0.105000,0.040000,0.160000,0.160000,0.150000,0.150000,0.125000,0.115000,0.095000
opus-4.6_run17,0.145000,0.015000,0.055000,0.215000,0.150000,0.055000,0.175000,0.080000,0.015000,0.050000,0.120000,0.045000,0.080000,0.055000,0.015000,0.000000,0.080000,0.090000,0.015000,0.150000,0.015000,0.145000,0.245000,0.050000,0.015000,0.055000,0.050000,0.050000,0.015000,0.110000,0.020000,0.080000,0.085000,0.085000,0.180000,0.215000,0.085000,0.175000,0.090000,0.085000,0.080000,0.080000,0.020000,0.050000,0.050000,0.025000,0.045000,0.185000
opus-4.6_run18,0.080000,0.140000,0.020000,0.160000,0.200000,0.220000,0.100000,0.020000,0.260000,0.400000,0.180000,0.020000,0.220000,0.080000,0.040000,0.080000,0.000000,0.040000,0.060000,0.100000,0.260000,0.080000,0.080000,0.200000,0.060000,0.080000,0.200000,0.200000,0.040000,0.160000,0.180000,0.280000,0.160000,0.140000,0.120000,0.060000,0.240000,0.000000,0.040000,0.260000,0.020000,0.120000,0.120000,0.000000,0.000000,0.100000,0.280000,0.060000
opus-4.6_run19,0.110000,0.070000,0.110000,0.170000,0.000000,0.010000,0.050000,0.040000,0.030000,0.000000,0.060000,0.090000,0.040000,0.190000,0.070000,0.090000,0.040000,0.000000,0.070000,0.100000,0.030000,0.110000,0.110000,0.100000,0.070000,0.110000,0.000000,0.000000,0.070000,0.180000,0.140000,0.060000,0.070000,0.070000,0.040000,0.070000,0.230000,0.150000,0.020000,0.030000,0.040000,0.040000,0.260000,0.100000,0.200000,0.050000,0.090000,0.130000
opus-4.6_run20,0.015000,0.195000,0.015000,0.005000,0.050000,0.015000,0.125000,0.140000,0.195000,0.050000,0.160000,0.115000,0.140000,0.115000,0.305000,0.015000,0.060000,0.070000,0.000000,0.050000,0.195000,0.015000,0.115000,0.050000,0.305000,0.115000,0.150000,0.050000,0.105000,0.070000,0.060000,0.040000,0.205000,0.305000,0.060000,0.295000,0.005000,0.125000,0.170000,0.195000,0.040000,0.140000,0.040000,0.050000,0.250000,0.025000,0.085000,0.205000
opus-4.6_run22,0.250000,0.150000,0.050000,0.250000,0.200000,0.350000,0.050000,0.100000,0.150000,0.100000,0.000000,0.050000,0.200000,0.150000,0.050000,0.150000,0.100000,0.100000,0.050000,0.000000,0.250000,0.050000,0.350000,0.300000,0.050000,0.050000,0.000000,0.100000,0.050000,0.100000,0.100000,0.200000,0.050000,0.050000,0.300000,0.050000,0.350000,0.250000,0.200000,0.050000,0.200000,0.000000,0.100000,0.200000,0.000000,0.050000,0.050000,0.250000
opus-4.6_run23,0.185000,0.105000,0.085000,0.195000,0.050000,0.315000,0.025000,0.040000,0.395000,0.250000,0.060000,0.115000,0.340000,0.015000,0.305000,0.015000,0.260000,0.030000,0.195000,0.250000,0.000000,0.015000,0.185000,0.350000,0.105000,0.085000,0.150000,0.050000,0.105000,0.170000,0.160000,0.160000,0.005000,0.205000,0.240000,0.195000,0.205000,0.075000,0.070000,0.195000,0.140000,0.140000,0.040000,0.250000,0.050000,0.025000,0.185000,0.005000
opus-4.6_run24,0.155000,0.085000,0.055000,0.285000,0.150000,0.145000,0.225000,0.120000,0.085000,0.150000,0.180000,0.045000,0.120000,0.045000,0.085000,0.145000,0.080000,0.110000,0.015000,0.050000,0.015000,0.000000,0.155000,0.150000,0.015000,0.145000,0.050000,0.150000,0.015000,0.010000,0.020000,0.180000,0.015000,0.115000,0.120000,0.085000,0.215000,0.225000,0.090000,0.085000,0.220000,0.020000,0.080000,0.050000,0.250000,0.075000,0.155000,0.015000
opus-4.6_run25,0.355000,0.115000,0.055000,0.385000,0.250000,0.245000,0.125000,0.020000,0.085000,0.150000,0.080000,0.045000,0.120000,0.045000,0.015000,0.245000,0.080000,0.110000,0.115000,0.350000,0.185000,0.155000,0.000000,0.350000,0.085000,0.055000,0.050000,0.150000,0.015000,0.090000,0.080000,0.180000,0.015000,0.085000,0.420000,0.085000,0.315000,0.325000,0.110000,0.015000,0.120000,0.020000,0.020000,0.250000,0.050000,0.075000,0.055000,0.115000
opus-4.6_run26,0.350000,0.150000,0.050000,0.350000,0.200000,0.350000,0.050000,0.000000,0.250000,0.200000,0.100000,0.150000,0.200000,0.050000,0.150000,0.050000,0.200000,0.100000,0.050000,0.300000,0.350000,0.150000,0.350000,0.000000,0.050000,0.050000,0.100000,0.200000,0.050000,0.000000,0.100000,0.300000,0.050000,0.050000,0.400000,0.050000,0.350000,0.250000,0.100000,0.150000,0.200000,0.100000,0.000000,0.300000,0.200000,0.150000,0.150000,0.050000
opus-4.6_run27,0.015000,0.205000,0.015000,0.005000,0.050000,0.015000,0.075000,0.060000,0.005000,0.050000,0.140000,0.185000,0.040000,0.015000,0.295000,0.015000,0.060000,0.070000,0.305000,0.050000,0.105000,0.015000,0.085000,0.050000,0.000000,0.285000,0.050000,0.050000,0.095000,0.030000,0.040000,0.160000,0.295000,0.295000,0.040000,0.205000,0.005000,0.075000,0.230000,0.105000,0.060000,0.160000,0.060000,0.150000,0.250000,0.025000,0.115000,0.195000
opus-4.6_run28,0.045000,0.215000,0.055000,0.015000,0.050000,0.045000,0.025000,0.080000,0.085000,0.150000,0.220000,0.045000,0.020000,0.145000,0.085000,0.055000,0.080000,0.110000,0.115000,0.050000,0.085000,0.145000,0.055000,0.050000,0.285000,0.000000,0.150000,0.050000,0.085000,0.010000,0.020000,0.080000,0.185000,0.185000,0.120000,0.115000,0.015000,0.025000,0.090000,0.015000,0.180000,0.180000,0.080000,0.050000,0.150000,0.025000,0.045000,0.185000
opus-4.6_run29,0.150000,0.050000,0.050000,0.050000,0.000000,0.050000,0.050000,0.200000,0.150000,0.100000,0.300000,0.050000,0.200000,0.250000,0.150000,0.050000,0.200000,0.000000,0.150000,0.000000,0.150000,0.050000,0.050000,0.100000,0.050000,0.150000,0.000000,0.100000,0.050000,0.000000,0.300000,0.100000,0.050000,0.150000,0.000000,0.150000,0.050000,0.050000,0.000000,0.150000,0.100000,0.400000,0.200000,0.000000,0.000000,0.150000,0.050000,0.050000
opus-4.6_run30,0.150000,0.050000,0.150000,0.250000,0.200000,0.150000,0.050000,0.100000,0.050000,0.200000,0.100000,0.050000,0.100000,0.050000,0.050000,0.050000,0.200000,0.000000,0.050000,0.100000,0.050000,0.150000,0.150000,0.200000,0.050000,0.050000,0.100000,0.000000,0.050000,0.000000,0.000000,0.200000,0.150000,0.050000,0.200000,0.050000,0.250000,0.050000,0.000000,0.050000,0.100000,0.200000,0.000000,0.100000,0.100000,0.050000,0.050000,0.050000
opus-4.6_run31,0.015000,0.205000,0.215000,0.105000,0.150000,0.115000,0.075000,0.160000,0.005000,0.050000,0.140000,0.185000,0.060000,0.015000,0.195000,0.015000,0.040000,0.070000,0.105000,0.050000,0.105000,0.015000,0.015000,0.050000,0.095000,0.085000,0.050000,0.050000,0.000000,0.230000,0.140000,0.160000,0.095000,0.095000,0.040000,0.305000,0.005000,0.075000,0.070000,0.005000,0.140000,0.040000,0.160000,0.050000,0.050000,0.025000,0.015000,0.005000
opus-4.6_run32,0.090000,0.030000,0.010000,0.030000,0.100000,0.010000,0.050000,0.040000,0.170000,0.100000,0.060000,0.190000,0.140000,0.010000,0.130000,0.110000,0.160000,0.180000,0.070000,0.100000,0.170000,0.010000,0.090000,0.000000,0.030000,0.010000,0.000000,0.000000,0.230000,0.000000,0.060000,0.040000,0.070000,0.130000,0.060000,0.070000,0.070000,0.150000,0.180000,0.170000,0.060000,0.060000,0.140000,0.000000,0.100000,0.050000,0.210000,0.170000
opus-4.6_run33,0.080000,0.040000,0.180000,0.060000,0.000000,0.020000,0.000000,0.320000,0.160000,0.200000,0.180000,0.020000,0.120000,0.280000,0.240000,0.020000,0.180000,0.140000,0.060000,0.100000,0.160000,0.020000,0.080000,0.100000,0.040000,0.020000,0.300000,0.000000,0.140000,0.060000,0.000000,0.080000,0.040000,0.140000,0.120000,0.160000,0.060000,0.000000,0.040000,0.160000,0.080000,0.220000,0.320000,0.100000,0.000000,0.000000,0.080000,0.160000
opus-4.6_run34,0.180000,0.140000,0.020000,0.160000,0.200000,0.320000,0.100000,0.020000,0.260000,0.200000,0.080000,0.080000,0.220000,0.020000,0.060000,0.080000,0.280000,0.060000,0.040000,0.200000,0.160000,0.180000,0.180000,0.300000,0.160000,0.080000,0.100000,0.200000,0.160000,0.040000,0.080000,0.000000,0.160000,0.060000,0.220000,0.140000,0.240000,0.200000,0.040000,0.160000,0.220000,0.020000,0.020000,0.100000,0.100000,0.100000,0.080000,0.060000
opus-4.6_run35,0.115000,0.105000,0.085000,0.105000,0.050000,0.015000,0.075000,0.060000,0.095000,0.050000,0.040000,0.085000,0.140000,0.015000,0.195000,0.085000,0.160000,0.070000,0.205000,0.050000,0.005000,0.015000,0.015000,0.050000,0.295000,0.185000,0.050000,0.150000,0.095000,0.070000,0.040000,0.160000,0.000000,0.095000,0.060000,0.205000,0.005000,0.075000,0.230000,0.005000,0.040000,0.040000,0.060000,0.250000,0.150000,0.025000,0.085000,0.195000
opus-4.6_run36,0.085000,0.105000,0.015000,0.005000,0.050000,0.085000,0.025000,0.160000,0.205000,0.150000,0.240000,0.085000,0.160000,0.015000,0.295000,0.085000,0.140000,0.070000,0.305000,0.050000,0.205000,0.115000,0.085000,0.050000,0.295000,0.185000,0.150000,0.050000,0.095000,0.130000,0.140000,0.060000,0.095000,0.000000,0.040000,0.305000,0.005000,0.075000,0.030000,0.105000,0.060000,0.260000,0.060000,0.050000,0.250000,0.025000,0.315000,0.095000
opus-4.6_run37,0.320000,0.160000,0.020000,0.340000,0.300000,0.280000,0.100000,0.020000,0.140000,0.200000,0.020000,0.080000,0.080000,0.080000,0.060000,0.180000,0.120000,0.040000,0.060000,0.300000,0.240000,0.120000,0.420000,0.400000,0.040000,0.120000,0.000000,0.200000,0.040000,0.060000,0.120000,0.220000,0.060000,0.040000,0.000000,0.040000,0.260000,0.300000,0.140000,0.040000,0.080000,0.020000,0.080000,0.300000,0.100000,0.100000,0.120000,0.060000
opus-4.6_run38,0.085000,0.195000,0.085000,0.195000,0.050000,0.015000,0.025000,0.240000,0.095000,0.150000,0.260000,0.115000,0.140000,0.015000,0.305000,0.215000,0.060000,0.070000,0.295000,0.050000,0.195000,0.085000,0.085000,0.050000,0.205000,0.115000,0.150000,0.050000,0.305000,0.070000,0.160000,0.140000,0.205000,0.305000,0.040000,0.000000,0.105000,0.025000,0.070000,0.005000,0.060000,0.140000,0.040000,0.050000,0.150000,0.075000,0.085000,0.205000
opus-4.6_run39,0.315000,0.095000,0.015000,0.405000,0.250000,0.285000,0.125000,0.040000,0.105000,0.250000,0.140000,0.085000,0.160000,0.085000,0.005000,0.085000,0.240000,0.230000,0.005000,0.350000,0.205000,0.215000,0.315000,0.350000,0.005000,0.015000,0.050000,0.250000,0.005000,0.070000,0.060000,0.240000,0.005000,0.005000,0.260000,0.105000,0.000000,0.225000,0.130000,0.105000,0.160000,0.060000,0.140000,0.150000,0.150000,0.075000,0.115000,0.195000
opus-4.6_run40,0.225000,0.025000,0.125000,0.275000,0.150000,0.175000,0.175000,0.000000,0.075000,0.050000,0.000000,0.025000,0.100000,0.075000,0.075000,0.175000,0.000000,0.150000,0.125000,0.250000,0.075000,0.225000,0.325000,0.250000,0.075000,0.025000,0.050000,0.050000,0.075000,0.150000,0.000000,0.200000,0.075000,0.075000,0.300000,0.025000,0.225000,0.000000,0.050000,0.025000,0.200000,0.000000,0.100000,0.150000,0.150000,0.025000,0.025000,0.025000
opus-4.6_run41,0.110000,0.030000,0.090000,0.070000,0.200000,0.090000,0.050000,0.060000,0.030000,0.000000,0.040000,0.010000,0.060000,0.090000,0.130000,0.090000,0.040000,0.020000,0.170000,0.200000,0.070000,0.090000,0.110000,0.100000,0.230000,0.090000,0.000000,0.000000,0.070000,0.180000,0.040000,0.040000,0.230000,0.030000,0.140000,0.070000,0.130000,0.050000,0.000000,0.070000,0.040000,0.040000,0.040000,0.200000,0.100000,0.050000,0.010000,0.330000
opus-4.6_run42,0.085000,0.105000,0.085000,0.095000,0.150000,0.115000,0.075000,0.140000,0.295000,0.250000,0.060000,0.115000,0.240000,0.085000,0.105000,0.085000,0.260000,0.030000,0.195000,0.050000,0.195000,0.085000,0.015000,0.150000,0.105000,0.015000,0.150000,0.050000,0.005000,0.170000,0.160000,0.160000,0.005000,0.105000,0.040000,0.005000,0.105000,0.025000,0.070000,0.000000,0.140000,0.140000,0.140000,0.150000,0.050000,0.125000,0.185000,0.095000
opus-4.6_run43,0.220000,0.040000,0.020000,0.140000,0.100000,0.280000,0.100000,0.020000,0.240000,0.000000,0.020000,0.120000,0.280000,0.020000,0.040000,0.080000,0.020000,0.040000,0.040000,0.200000,0.140000,0.220000,0.120000,0.200000,0.060000,0.180000,0.100000,0.100000,0.140000,0.060000,0.080000,0.220000,0.040000,0.060000,0.080000,0.060000,0.160000,0.200000,0.040000,0.140000,0.000000,0.180000,0.120000,0.200000,0.100000,0.100000,0.020000,0.060000
opus-4.6_run44,0.120000,0.040000,0.120000,0.040000,0.000000,0.080000,0.000000,0.180000,0.140000,0.100000,0.220000,0.020000,0.180000,0.220000,0.160000,0.080000,0.120000,0.040000,0.140000,0.000000,0.140000,0.020000,0.020000,0.100000,0.160000,0.180000,0.400000,0.200000,0.040000,0.060000,0.220000,0.020000,0.040000,0.260000,0.020000,0.140000,0.060000,0.000000,0.040000,0.140000,0.180000,0.000000,0.080000,0.000000,0.100000,0.100000,0.120000,0.060000
opus-4.6_run45,0.020000,0.060000,0.020000,0.060000,0.100000,0.020000,0.100000,0.180000,0.040000,0.100000,0.120000,0.080000,0.020000,0.120000,0.160000,0.020000,0.120000,0.260000,0.040000,0.100000,0.040000,0.080000,0.020000,0.000000,0.060000,0.080000,0.200000,0.000000,0.160000,0.140000,0.320000,0.020000,0.060000,0.060000,0.080000,0.040000,0.140000,0.100000,0.040000,0.140000,0.120000,0.080000,0.000000,0.100000,0.100000,0.100000,0.120000,0.040000
opus-4.6_run46,0.350000,0.050000,0.050000,0.250000,0.200000,0.250000,0.050000,0.000000,0.150000,0.100000,0.100000,0.050000,0.100000,0.050000,0.150000,0.050000,0.000000,0.100000,0.050000,0.200000,0.250000,0.050000,0.250000,0.300000,0.150000,0.050000,0.000000,0.100000,0.050000,0.000000,0.100000,0.100000,0.250000,0.050000,0.300000,0.050000,0.150000,0.150000,0.200000,0.150000,0.200000,0.000000,0.100000,0.000000,0.000000,0.050000,0.050000,0.050000
opus-4.6_run47,0.050000,0.150000,0.050000,0.150000,0.000000,0.050000,0.050000,0.100000,0.050000,0.000000,0.200000,0.150000,0.000000,0.150000,0.150000,0.050000,0.000000,0.200000,0.250000,0.000000,0.050000,0.250000,0.050000,0.200000,0.250000,0.150000,0.000000,0.100000,0.050000,0.100000,0.000000,0.100000,0.150000,0.250000,0.100000,0.150000,0.150000,0.150000,0.100000,0.050000,0.100000,0.100000,0.100000,0.000000,0.000000,0.050000,0.150000,0.150000
opus-4.6_run48,0.175000,0.025000,0.025000,0.125000,0.150000,0.025000,0.025000,0.100000,0.025000,0.050000,0.100000,0.125000,0.000000,0.025000,0.125000,0.025000,0.100000,0.050000,0.025000,0.050000,0.025000,0.075000,0.075000,0.150000,0.025000,0.025000,0.150000,0.050000,0.025000,0.050000,0.000000,0.100000,0.025000,0.025000,0.100000,0.075000,0.075000,0.025000,0.050000,0.125000,0.100000,0.100000,0.100000,0.050000,0.050000,0.000000,0.075000,0.025000
opus-4.6_run49,0.045000,0.115000,0.045000,0.085000,0.150000,0.145000,0.125000,0.020000,0.185000,0.250000,0.180000,0.145000,0.120000,0.045000,0.115000,0.045000,0.280000,0.090000,0.085000,0.050000,0.185000,0.155000,0.055000,0.150000,0.115000,0.045000,0.050000,0.050000,0.015000,0.210000,0.080000,0.080000,0.085000,0.315000,0.120000,0.085000,0.115000,0.025000,0.010000,0.185000,0.020000,0.120000,0.120000,0.050000,0.150000,0.075000,0.000000,0.015000
opus-4.6_run50,0.115000,0.105000,0.185000,0.105000,0.150000,0.085000,0.075000,0.040000,0.095000,0.050000,0.140000,0.015000,0.040000,0.185000,0.095000,0.185000,0.060000,0.130000,0.205000,0.250000,0.005000,0.015000,0.115000,0.050000,0.195000,0.185000,0.050000,0.050000,0.005000,0.170000,0.160000,0.060000,0.195000,0.095000,0.060000,0.205000,0.195000,0.025000,0.330000,0.095000,0.060000,0.060000,0.040000,0.050000,0.150000,0.025000,0.015000,0.000000
